Campaign,Ad group,Search term,Impressions,Clicks,Cost,Conversions,Conv. value
Evergreen-Shoes,Running Shoes - Men,best running shoes for men,1250,85,170.50,5,750.00
Evergreen-Shoes,Running Shoes - Men,lightweight running shoes for men,850,65,130.20,3,450.00
Evergreen-Shoes,Running Shoes - Men,nike running shoes sale,500,45,95.00,1,150.00
Evergreen-Shoes,Running Shoes - Men,running shoes for flat feet,750,55,115.00,2,300.00
Evergreen-Shoes,Running Shoes - Men,brooks adrenaline gts 22 review,3500,70,180.00,0,0.00
Evergreen-Shoes,Running Shoes - Men,best trail running shoes for women,1800,120,250.00,8,1200.00
Evergreen-Shoes,Hiking Boots,waterproof hiking boots for women,2500,150,310.00,12,2400.00
Evergreen-Shoes,Hiking Boots,best hiking boots for rocky trails,900,70,145.50,6,1200.00
Evergreen-Shoes,Hiking Boots,where to buy cheap hiking boots,1500,80,150.00,0,0.00
Evergreen-Shoes,Hiking Boots,hiking boots with good ankle support,1300,95,190.00,9,1800.00
Evergreen-Shoes,Hiking Boots,men's size 12 wide hiking boots,650,55,110.00,5,1150.00
Brand-General,Brand Core,advantage shoes official site,3000,600,300.00,150,15000.00
Brand-General,Brand Core,advantage shoes reviews,1800,250,125.00,20,2000.00
Brand-General,Brand Core,advantage shoes return policy,450,25,15.00,0,0.00
Discovery-New,Casual Wear,comfortable slip on shoes,4000,120,240.00,2,300.00
Discovery-New,Casual Wear,stylish everyday shoes,25000,150,350.00,1,150.00
Discovery-New,Casual Wear,best comfortable shoes for walking,4500,150,300.00,3,450.00
Discovery-New,Casual Wear,shoe repair near me,1200,60,95.00,0,0.00
Discovery-New,Formal Wear,black leather dress shoes,2200,110,275.00,8,1600.00
Discovery-New,Formal Wear,buy italian leather shoes online,1100,50,125.00,4,800.00
Discovery-New,Formal Wear,formal shoes for wide feet,1600,80,160.00,5,1000.00
Competitor-Bids,Nikexx Shoes,buy nikexx air zoom,3200,160,480.00,3,450.00
Competitor-Bids,Brooksxx Running,brooksxx ghost 14 sale,2800,145,450.50,2,320.00
Shopping-General,All Products,shoes online,45000,900,1800.00,10,1400.00
Shopping-General,All Products,buy shoes free shipping,15000,450,950.00,15,2250.00
Shopping-General,All Products,donate used shoes,950,50,45.00,0,0.00
